Mnemonic,Ord.Mnemonic,Test,TestName,OrderingRecommendation,LOINC,SPECIMENREQUIREMENTS,SampleType,PreferredContainer,AlternateContainer,SampleVolume,HandlingInstructions,Transport,SpecimenStability,UnsuitableSpecimen,TESTING,Frequency,ExpectedTurnAround,ReferenceRange,ResponsibleDept,ReferralLab,NYSDOHApprovalStatus,CPT,Methodology,ADDITIONALINFORMATION,COMPLIANCESTATEMENT,TestCodes
"TOPIRAMATE, TOPAMAX, TOPIRAGEN",,L183,TOPIRAMATE,,Topiramate (17713-9), ,Serum or Plasma,Plain Red Top Tube,EDTA (Lavender Top) Tube or Heparin (Green Top) Tube,"1.0 mL (0.2 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions.  Centrifuge sample and separate serum or plasma from cells ASAP. Aliquot and refrigerate. Please submit a separate tube for this test.,Refrigerated,Ambient: 3 Days; Refrigerated: 2 Weeks; Frozen: 1 Month,Samples collected in serum separator tubes., ,"Tuesday, Thursday, Sunday",3 - 5 Days,2.0 - 20.0 mcg/mL,Analytical Chemistry,,Approved,80201,Liquid chromatography/tandem mass spectrometry (LC-MS/MS),"Ideal sampling time for all antiepileptic drugs is immediately before the next oral dose (trough).  If this is not possible, patients should not be advised to delay their shceduled dose for longer than 2-3 hours.  Sample collection and the time that the medication was last ingested should be noted on the requisition.",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,TOPIRAMATE
"Varicella Zoster IGG, VZV IgG",,E142,VZV IGG,,Varicella Zoster IgG (5403-1), ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP or within two hours of collection. Aliquot and freeze specimen at -20캜 or colder. Acute and convalescent specimens must be labeled appropriately; parallel testing is preferred and convalescent specimens must be received within 45 days from receipt of acute specimens. Please mark specimen plainly as 'acute' or 'convalescent'.,Frozen,Refrigerated: 2 Days; Frozen: 45 Days,"Hemolyzed, lipemic, or icteric specimens. Ambient samples.", ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 2 Days,<0.91 ISR,Core Laboratory,,Approved,86787,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,VARICELLA ZOST IGG
"VARICELLA ZOSTER IgM, VZV IgM",,F141,VZV IGM,,Varicella Zoster IgM (5404-9), ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP or within two hours of collection. Aliquot and freeze specimen at -20캜 or colder. Acute and convalescent specimens must be labeled appropriately; parallel testing is preferred and convalescent specimens must be received within 45 days from receipt of acute specimens. Please mark specimen plainly as 'acute' or 'convalescent'.,Frozen,Refrigerated: 2 Days; Frozen: 45 Days,"Hemolyzed, lipemic, or icteric specimens. Ambient samples.", ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 2 Days,<0.91 ISR,Core Laboratory,,Approved,86787,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,VARICELLA ZOST IGM
"Varicella Zoster, Varicella Zoster IGG/IGM, Varicella Zoster IGM/IGG, VZV, Varicella Zoster Virus",,E141,VZV IGG/IGM,,"Varicella Zoster IgG (5403-1), Varicella Zoster IgM (5404-9)", ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP or within two hours of collection. Aliquot and freeze specimen at -20캜 or colder. Acute and convalescent specimens must be labeled appropriately; parallel testing is preferred and convalescent specimens must be received within 45 days from receipt of acute specimens. Please mark specimen plainly as 'acute' or 'convalescent'.,Frozen,Refrigerated: 2 Days; Frozen: 45 Days,"Hemolyzed, lipemic, or icteric specimens. Ambient samples.", ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 2 Days,<0.91 ISR,Core Laboratory,,Approved,86787 x2,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,"VARICELLA ZOST IGG,VARICELLA ZOST IGM"
"VITAMIN B1 (THIAMINE) WHOLE BLOOD, VIT B1, THIAMINE DIPHOSPHATE",THIAMINE,E739,VITAMIN B1,,"Vitamin B1, Whole Blood (74444-1)", ,Whole Blood,Sodium or Lithium Heparin (Green Top) Tube,EDTA (Lavender Top) Tube or K2EDTA (Pink Top) Tube,"2.0 mL (0.5 mL minimum, does not allow for repeat testing)",CRITICAL FROZEN. LIGHT PROTECTED SAMPLE. Collect sample and transfer to an amber transport tube.  Protect from light. Freeze immediately. Transport frozen.  Note: Do not freeze in glass tube.,Frozen,Frozen: 1 Month,Ambient or refrigerated specimens.Samples collected in lithium heparin gel (light green or green/gray top) tubes.Short draw with incompletely filled tube. , ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",2 - 4 Days,70 - 180 nmol/L,Analytical Chemistry,,Approved,84425,High Performance Liquid Chromatography (HPLC),,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,VIT B1 WHOLE BLOOD
"VITAMIN B6 PLASMA, PYRIDOXAL 5'-PHOSPHATE, PLP",,E745,VITAMIN B6 PLASMA,,Vitamin B6 Plasma (30552-4), ,Plasma or Serum,Heparin (Green Top) Tube,Plain Red Top Tube,"2.0 mL (0.3 mL minimum, does not allow for repeat testing)","CRITICAL FROZEN. LIGHT PROTECTED SAMPLE. Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate plasma or serum from cells ASAP. Aliquot, freeze, and protect from light immediately after collection.",Frozen,Refrigerated: 5 Hours; Frozen: 1 Month,Serum separator or EDTA (Lavender Top) tubes. Ambient or refrigerated specimen. Hemolyzed samples.,  ,"Tuesday, Wednesday, Thursday, Friday, Sunday",3 - 4 Days,20 - 125 nmol/L,Analytical Chemistry,,Approved,84207,High performance liquid chromatography (HPLC),Pyridoxal 5'-phosphate measured in a specimen collected following an 8 hour or overnight fast accurately indicates Vitamin B6 nutritional status. Non-fasting specimen concentration reflects recent vitamin intake.,This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,VITAMIN B6 PLASMA
"VON WILLEBRAND DISEASE PROFILE, FACTOR VIII STUDIES, F8 ACTIVITY, VWF ANTIGEN",,I500,VON WILLEBRAND PANEL,,"Factor VIII Activity (49865-9), VW Activity Ristocetin (6014-5), VW Factor Antigen (27816-8)", ,Platelet Poor Plasma,Citrate (Light Blue Top) Tube,None,3.0 - 4.0 mL (3 tubes),"CRITICAL FROZEN. Recommend drawing 3 light blue top tube to obtain approximately 4-5mL of platelet poor plasma (PPP). The tube must be properly filled, as the appropriate ratio of blood to anticoagulant is critical to testing. Spin sample ASAP at 2000-2500 x g for 15 minutes (or per tube manufacturer's PPP collection instructions) and aliquot, being careful not to touch the buffy coat layer (remove approximately the top 3/4 of plasma).  Spin again and aliquot (again avoiding the buffy coat) into 3 plastic vials and immediately freeze aliquots.  NOTE: It is required that plasma be rendered platelet free (<10x10^9/L) by double centrifugations prior to freezing.  Once frozen, do not thaw and refreeze.   Test results are a direct reflection of sample integrity.Note: Storage of whole blood at refrigerated temperatures prior to processing may lead to cryoprecipitate formation and falsely low Factor VIII and von Willebrand Factor studies.",Frozen,Frozen: 2 Weeks,"Ambient or refrigerated specimen. Aliquots with visible red cells, hemolysis, or clots.", ,"Monday, Wednesday, Friday",2 - 3 Days,Factor VIII Activity: 60-168%VW Activity Ristocetin: 58-172%VW Factor Antigen: 50-160%,Core Laboratory,,Approved," 85240, 85245, 85246",Immunoturbidimetric/Chromogenic Assay/Platelet Aggregation,"If the patient's hematocrit is above 55%, the amount of sodium citrate in the collection tube must be decreased because of decreased plasma volume. Please refer to the following instructions from BD for details on handling these samples: http://www.bd.com/vacutainer/pdfs/techtalk/TechTalk_May2005_VS7433.pdf ",FDA cleared or approved assay,"FACTOR VIII ACTIVITY,VW ACT RISTOCETIN,VON WILLEBRAND FAC AG"
VON WILLEBRAND RISTOCETIN COFACTOR,,I505,VW ACT RISTOCETIN,,VW Activity Ristocetin (6014-5), ,Platelet Poor Plasma,Citrate (Light Blue Top) Tube,None,1.0 - 2.0 mL,"CRITICAL FROZEN. Recommend drawing 1 light blue top tube to obtain approximately 1-2mL of platelet poor plasma (PPP). The tube must be properly filled, as the appropriate ratio of blood to anticoagulant is critical to testing. Spin sample ASAP at 2000-2500 x g for 15 minutes (or per tube manufacturer's PPP collection instructions) and aliquot, being careful not to touch the buffy coat layer (remove approximately the top 3/4 of plasma).  Spin again and aliquot (again avoiding the buffy coat) into 1-2 plastic vials and immediately freeze aliquots.  NOTE: It is required that plasma be rendered platelet free (<10x10^9/L) by double centrifugations prior to freezing.  Once frozen, do not thaw and refreeze.   Test results are a direct reflection of sample integrity.Note: Storage of whole blood at refrigerated temperatures prior to processing may lead to cryoprecipitate formation and falsely low Factor VIII and von Willebrand Factor studies.",Frozen,Ambient: 6 Hours; Frozen: 1 Month,"Ambient or refrigerated specimen. Aliquots with visible red cells, hemolysis, or clots.", ,"Monday, Wednesday, Friday",2 - 3 Days,58-172%,Core Laboratory,,Approved,85245,Platelet Aggregation,"If the patient's hematocrit is above 55%, the amount of sodium citrate in the collection tube must be decreased because of decreased plasma volume. Please refer to the following instructions from BD for details on handling these samples: http://www.bd.com/vacutainer/pdfs/techtalk/TechTalk_May2005_VS7433.pdf ",FDA cleared or approved assay,VW ACT RISTOCETIN
"VWF ANTIGEN, VON WILLEBRAND FACTOR AG",,I510,VW FACTOR ANTIGEN,,VW Factor Antigen (27816-8), ,Platelet Poor Plasma,Citrate (Light Blue Top) Tube,None,1.0 - 2.0 mL,"CRITICAL FROZEN. Recommend drawing 1 light blue top tube to obtain approximately 1-2mL of platelet poor plasma (PPP). The tube must be properly filled, as the appropriate ratio of blood to anticoagulant is critical to testing. Spin sample ASAP at 2000-2500 x g for 15 minutes (or per tube manufacturer's PPP collection instructions) and aliquot, being careful not to touch the buffy coat layer (remove approximately the top 3/4 of plasma).  Spin again and aliquot (again avoiding the buffy coat) into 1-2 plastic vials and immediately freeze aliquots.  NOTE: It is required that plasma be rendered platelet free (<10x10^9/L) by double centrifugations prior to freezing.  Once frozen, do not thaw and refreeze.   Test results are a direct reflection of sample integrity.Note: Storage of whole blood at refrigerated temperatures prior to processing may lead to cryoprecipitate formation and falsely low Factor VIII and von Willebrand Factor studies.",Frozen,Ambient: 8 Hours; Refrigerated: 1 Day; Frozen: 1 Month,"Ambient or refrigerated specimen. Aliquots with visible red cells, hemolysis, or clots.", ,"Monday, Wednesday, Friday",2 - 3 Days,50-160%,Core Laboratory,,Approved,85246,Immunoturbidimetric Assay,"If the patient's hematocrit is above 55%, the amount of sodium citrate in the collection tube must be decreased because of decreased plasma volume. Please refer to the following instructions from BD for details on handling these samples: http://www.bd.com/vacutainer/pdfs/techtalk/TechTalk_May2005_VS7433.pdf ",FDA cleared or approved assay,VON WILLEBRAND FAC AG
"WEST NILE VIRUS G/M, WNV IgG IgM",,W131,WEST NILE VIRUS G-M,Test for determination of IgG and IgM antibodies in patients with a clinical suspicion of West Nile virus infection.,"West Nile Virus IgG (38997-3), West Nile Virus IgM (38166-5)", ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze. Acute and convalescent specimens must be labeled appropriately; parallel testing is preferred and convalescent specimens must be received within 30 days from receipt of the acute specimens. Please mark specimen plainly as 'acute' or 'convalescent'.,Frozen,Ambient: 10 Hours; Refrigerated: 19 Days; Frozen: 4 Weeks,"Hemolyzed, grossly lipemic, contaminated, heat-inactivated or plasma specimens.", ,"Tuesday, Thursday",3 - 5 Days,WNV IgG: <0.80 ratioWNV IgM: <0.80 ratio,Core Laboratory,,Approved,"86789, 86788",Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,"WNV IGG,WNV IGM"
"WEST NILE VIRUS IgM, WNV IgM",,W133,WNV IGM,Test for determination of IgM antibodies in patients with a clinical suspicion of West Nile virus infection.,West Nile Virus IgM (38166-5), ,Serum,Serum Separator Tube,Plain Red Top Tube,0.5 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze. Acute and convalescent specimens must be labeled appropriately; parallel testing is preferred and convalescent specimens must be received within 30 days from receipt of the acute specimens. Please mark specimen plainly as 'acute' or 'convalescent'.,Frozen,Ambient: 10 Hours; Refrigerated: 19 Days; Frozen: 4 Weeks,"Hemolyzed, grossly lipemic, contaminated, heat-inactivated or plasma specimens.", ,"Tuesday, Thursday",3 - 5 Days,WNV IgM: <0.80 ratio,Core Laboratory,,Approved,86788,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,WNV IGM
"WNV IgG, WEST NILE VIRUS IgG",,W132,WNV IGG,Test for determination of IgG antibodies in patients with a clinical suspicion of West Nile virus infection.,West Nile Virus IgG (38997-3), ,Serum,Serum Separator Tube,Plain Red Top Tube,0.5 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and freeze. Acute and convalescent specimens must be labeled appropriately; parallel testing is preferred and convalescent specimens must be received within 30 days from receipt of the acute specimens. Please mark specimen plainly as 'acute' or 'convalescent'.,Frozen,Ambient: 10 Hours; Refrigerated: 19 Days; Frozen: 4 Weeks,"Hemolyzed, grossly lipemic, contaminated, heat-inactivated or plasma specimens.", ,"Tuesday, Thursday",3 - 5 Days,WNV IgG: <0.80 ratio,Core Laboratory,,Approved,86789,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,WNV IGG
ZIKA SERUM,,U901,ZIKA VIRUS BY PCR,,Serum Zika PCR (no LOINC defined at this time), ,Serum,Serum Separator Tube,Plain Red Top Tube,"3.0 mL (0.5 mL minimum, does not allow for repeat testing)",Separate serum from whole blood per tube manufacturer's instructions. Aliquot and freeze.  ,Frozen,Refrigerated: 1 Week; Frozen: 2 Weeks,Ambient specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",2 - 3 Days,Negative,Molecular,,Approved,87798,Qualitative real-time reverse transcription polymerase chain reaction (rRT-PCR),"Fact Sheets are required to be presented to both Health Care Providers and patients with the Zika Virus by PCR test results, per the EUA. url addresses for altona Diagnostics Fact Sheets for Healthcare Providers, Patients, and Pregnant Women will be provided on each report and are also linked below.<a href='http://www.fda.gov/downloads/MedicalDevices/Safety/EmergencySituations/UCM501024.pdf'>Fact Sheet for Healthcare Providers</a><a href='http://www.fda.gov/downloads/MedicalDevices/Safety/EmergencySituations/UCM501025.pdf'>Fact Sheet for Patients</a>","This test has not been Food and Drug Administration (FDA) cleared or approved and has been authorized by FDA under an Emergency Use Authorization (EUA) for use by authorized laboratories. This test has been authorized only for the detection of RNA from Zika virus and not for any other viruses or pathogens. This test is only authorized for the duration of the declaration that circumstances exist justifying the authorization of the emergency use of in vitro diagnostic tests for detection of Zika virus and/or diagnosis of Zika virus infection under section 564(b)(l) of the Act, 21 U.S.C. �360bbb-3(b)(l), unless the authorization is terminated or revoked sooner.",ZIKA PCR RESULT
